,name,position,social_unique_code
0,赵宗仁,董事,913400001489746613
1,祝九胜,董事,913400001489746613
2,朱红军,董事,913400001489746613
3,李锐锋,监事,913400001489746613
4,程儒林,监事,913400001489746613
5,程俊佩,监事,913400001489746613
6,钱啸军,监事,913400001489746613
7,乔传福,董事,913400001489746613
8,潘淑娟,监事,913400001489746613
9,欧巍,董事,913400001489746613
10,戴根有,董事,913400001489746613
11,吴学民,董事,913400001489746613
12,杨棉之,监事,913400001489746613
13,张圣怀,董事,913400001489746613
14,钱力,董事,913400001489746613
15,高央,董事,913400001489746613
16,吴国忠,监事,913400001489746613
17,李宏鸣,董事长,913400001489746613
18,慈亚平,董事,913400001489746613
19,周彤,监事,913400001489746613
20,许崇定,监事,913400001489746613
21,王世豪,董事,913400001489746613
22,芦辉,董事,913400001489746613
23,张仁付,监事,913400001489746613
24,张飞飞,董事,913400001489746613
25,吴爱兵,董事,91340300149864560M
26,李向东,董事长兼总经...,91340300149864560M
27,方晓琳,监事,91340300149864560M
28,陈文雯,监事,91340300149864560M
29,刘大军,董事,91340300149864560M
30,张勇,董事,91340300149864560M
31,何志兵职工董事,董事,91340300149864560M
32,邹伟职工监事,监事,91340300149864560M
33,史红亮职工监事,监事,91340300149864560M
34,陈竹青监事会主席,监事,91340300149864560M
35,梁堂平,执行董事,913210023391390872
36,车文江,监事,913210023391390872
