,title,pub_date,url,come,abstract
0,哈哈 - 哈哈_凤凰资讯,2017年10月22日,http://news.ifeng.com/a/20171022/52741010_0.shtml,凤凰网,"原标题:哈哈[ 健身之后 自从健身之后,我的饮食习惯就变了。以前吃美食想都不想就吃,现在要先  查看更多相关新闻>>  -  百度快照"
1,"中锋保利尼奥!外脚背一撩与梅西2过2,闪电转身射门后哈哈笑",2017年10月22日,http://sports.163.com/17/1022/06/D1B3P3UU00058781.html,网易,"罗贝托回到中场后发挥了突击力强的优势,保利尼奥则扮演了伪中锋的角色。在第85分钟时,梅西和保利尼奥进行了一次“巴萨式”的撞墙式配合。梅西在禁区左侧送出横敲后...  查看更多相关新闻>>  -  百度快照"
2,最好的反击!球哥轰29+11+9 球爹乐了!场边哈哈笑,2017年10月21日,http://sports.163.com/17/1021/12/D198N1P50005877U.html,网易,"NBA常规赛继续进行,在昨天大比分输给快船之后,湖人这场客场面对太阳,控球后卫鲍尔打出正名一战,他全场27投12中,轰下29分11篮板9助攻的准三双,也帮助湖人艰难赢...  查看更多相关新闻>>  -  百度快照"
3,"[鹿晗][分享]171021 来自一个直男的执着,魔性的哈哈体!",2017年10月21日,http://idol001.com/news/luhan/detail/59ea27bf7a1173b1778b4adf/,爱豆网,"鹿晗先生是我有生之年见过将“哈哈”一词运用得最得心应手的人,他不拘泥于形式,哈哈的应用位置多变,时而在句首,时而在句尾,短短的两个字却蕴含了无尽的深意...  查看更多相关新闻>>  -  百度快照"
4,"【有趣】“饿醒了,叫了外卖,两份盖浇粪...“哈哈,都是输入法惹的祸",2017年10月21日,http://news.ifeng.com/a/20171021/52737475_0.shtml,凤凰网,"哈哈哈,这是有多饿啊! 21 抹茶蛋糕会怀孕吗? 22 同学,你这样会吓坏老师的 23 这个姓氏很强势啊 24 天啊,你们上班准备都是这样的吗? 25 手速一快,差点就...  百度快照"
5,"哈哈哈哈哈哈哈这话说得也是让人没法接,亲妈!",2017年10月20日,http://www.cqtimes.cn/news/article/id/2413852/nowCat/242.html,重庆时报网,"对不起没忍住哈哈哈哈哈哈。 假如你的生命只剩八年,你可以做高考三年模拟,假如你的生命只剩下五年,你可以做三年高考两年模拟,假如你的生命只剩下一个星期,你可以...  百度快照"
6,"封面少儿不宜?哈哈,但内容童叟皆适的乐高短片",2017年10月20日,http://learning.sohu.com/20171020/n518025036.shtml,搜狐教育,"哈哈哈! 好啦,今天说到这里,喜欢看,给我留言,改明咱继续,把后面那两个也给顺便讲了。 关注“老丁教乐高”微信订阅号,并点击“学”菜单,即可获得课程目录。...  百度快照"
7,哈哈谁来救救我的笑点。,2017年10月20日,http://www.cqtimes.cn/news/article/id/2412460/nowCat/242.html,重庆时报网,"哈哈谁来救救我的笑点。来源:趣头条2017-10-20路灯长在脑袋上。 哈哈哈哈哈哈哈哈哈哈哈哈哈哈谁来救救我的笑点。 全是套路,感觉智商不够用了,你可得长点心啊...  百度快照"
8,"关于怎么给狗狗穿裤子有了现实版的争议,哈哈笑喷了!",2017年10月20日,http://www.cqtimes.cn/news/article/id/2412407/nowCat/242.html,重庆时报网,"一秒入睡!厉害了。 哎呀,少女象摔倒了,要亲亲抱抱举高高才起来。 ​​​​ 毫无违和感,超自然时尚发饰~你值得拥有! 此新闻来源于趣头条http://g1q.gn...  百度快照"
9,“粪怒”的小鸟来袭 学会这几招 再多鸟粪也不怕 哈哈哈哈,2017年10月19日,http://auto.sina.com.cn/j_kandian.d.html?docid=fymvuyt4601351&subch=bauto,新浪汽车,"由于鸟粪含有尿酸,尿酸微溶于水,其与水及其他废物一起排出的时候,会形成白色的晶体,这就是为什么鸟粪是白色的原因了。 可别以为白色是无害的象征。要知道,尿酸对...  百度快照"
10,"...还是命重要~|陪读妈妈心梗住院引来了一波家长吐槽刷屏,哈哈哈",2017年10月19日,http://news.sina.com.cn/o/2017-10-19/doc-ifymzksi0435615.shtml,新浪新闻,"这两天,两条“陪孩子写作业,大人急到送医院”的朋友圈火了。 这两份特殊“病历”,来自一篇题为《老娘我做错了什么,要陪孩子做作业……》的文章下的评论,不少...  百度快照"
