test_logging: DEBUG    this is a decottteee msg!
test_logging: DEBUG    this is a decottteee msg!
logger_logger: DEBUG    this is a decottteee msg!
Wed,27 Sep 2017 16:08:04 -logger_logger: DEBUG    this is a decottteee msg!
Fri,29 Sep 2017 09:36:44 -logger_logger: DEBUG    this is a decottteee msg!
Tue,10 Oct 2017 17:13:25 -logger_logger: DEBUG    this is a decottteee msg!
Tue,10 Oct 2017 17:14:50 -logger_logger: DEBUG    this is a decottteee msg!
Tue,10 Oct 2017 17:20:26 -logger_logger: DEBUG    this is a decottteee msg!
Tue,17 Oct 2017 11:50:12 -logger_logger: DEBUG    this is a decottteee msg!
Tue,17 Oct 2017 12:09:01 -logger_logger: DEBUG    this is a decottteee msg!
Tue,17 Oct 2017 12:09:33 -logger_logger.child: DEBUG    this is a decottteee msg!
Tue,17 Oct 2017 14:41:55 -root        : DEBUG    test root logger...
Tue,17 Oct 2017 14:41:55 -main        : INFO     test main logger
Tue,17 Oct 2017 14:41:55 -main        : INFO     test main logger
Tue,17 Oct 2017 14:41:55 -main        : INFO     start import mould 'mod'....
Tue,17 Oct 2017 14:41:55 -main        : INFO     start import mould 'mod'....
Tue,17 Oct 2017 14:41:55 -main.mod.submod: INFO     logger of submod say something...
Tue,17 Oct 2017 14:41:55 -main.mod.submod: INFO     logger of submod say something...
Tue,17 Oct 2017 14:41:55 -main.mod    : INFO     logger of mod say something
Tue,17 Oct 2017 14:41:55 -main.mod    : INFO     logger of mod say something
Tue,17 Oct 2017 14:41:55 -main        : DEBUG    let's test mod testLogger()
Tue,17 Oct 2017 14:41:55 -main        : DEBUG    let's test mod testLogger()
Tue,17 Oct 2017 14:41:55 -main.mod    : DEBUG    this is mod.testLogger...
Tue,17 Oct 2017 14:41:55 -main.mod    : DEBUG    this is mod.testLogger...
Tue,17 Oct 2017 14:41:55 -main.mod.submod: INFO     this is submod.tst()...
Tue,17 Oct 2017 14:41:55 -main.mod.submod: INFO     this is submod.tst()...
Tue,17 Oct 2017 14:41:55 -root        : INFO     finish test...
