文书标题,公示日期,详情url,决定书文号,被处罚个人姓名,被处罚个人单位,被处罚机构名称,机构负责人,案由,处罚依据,处罚内容,做出处罚机构的名称,处罚日期
大连银监局行政处罚信息公开表,2017-07-14,http://www.cbrc.gov.cn/chinese/home/docView/DA05BF2D98704E579A7AFDEF1C7B530A.html,大银监罚决字〔2017〕12号,,null,阜新银行股份有限公司大连分行,霍忠明,银行承兑汇票业务贸易背景真实性审核不尽职，签发贸易背景不真实的银行承兑汇票。,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）；《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286号）；《中国银监会办公厅关于票据业务风险提示的通知》（银监办发〔2015〕203号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大连银监局,2017-6-29
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/4A6A82A665174328A6EECED891DFFAAE.html,大银监罚决字〔2017〕11号,,null,中国光大银行股份有限公司大连分行,谭翊武,贷后管理及贷前保证金来源调查未尽职，导致贷款资金被挪用，转存保证金和定期存款作质押开立银行承兑汇票。,《固定资产贷款管理暂行办法》（银监会令2009年第2号）第七条；《流动资金贷款管理暂行办法》（银监会令2010年第1号）第九条、第30条；《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）；《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）第一条；《中国银监会办公厅关于加强商业银行存款偏离度管理有关事项的通知》（银监办发〔2014〕236号）第二条 ；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大连银监局,2017-6-2
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/265C809731CB461895DDF741EF58BA4C.html,大银监罚决字〔2017〕10号,,null,中国工商银行股份有限公司大连市分行,迟维君,重复使用和临时替换票据贴现增值税发票复印件，对票据贴现业务贸易背景审查不尽职。,《商业银行授信工作尽职指引》（银监发[2004]51号）第十五条；《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286号）；《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）；《中国银监会办公厅关于票据业务风险提示的通知》（银监办发〔2015〕203号）；《中国人民银行中国银行业监督管理委员会关于加强票据业务监管促进票据市场健康发展的通知》（银发〔2016〕126号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大连银监局,2017-6-1
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/64671BA76A3743B89FE9CF1E24EE1E83.html,大银监罚决字〔2017〕9号,,null,中国工商银行股份有限公司大连市分行,迟维君,贷后管理未尽职，短期形成不良贷款。,《流动资金贷款管理暂行办法》（银监会令2010年第1号）第九条、第三十条；《商业银行授信工作尽职指引》（银监发[2004]51号）第四十一条、第四十三条；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大连银监局,2017-6-1
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/CFC649BBF6C04819BD8F62CDEDE0C7EA.html,大银监罚决字〔2017〕8号,,null,大连甘井子浦发村镇银行股份有限公司,董军,授信管理不严格，办理无真实贸易背景银行承兑汇票业务。,《中国银监会办公厅关于银行承兑汇票业务案件风险提示的通知》（银监办发〔2011〕206号）；《中国银监会办公厅关于加强银行承兑汇票业务监管的通知》（银监办发〔2012〕286号）；《中国银监会办公厅关于票据业务风险提示的通知》（银监办发〔２０１５〕２０３号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大连银监局,2017-6-2
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/3B6198071C044FA18D0D44CC645031F7.html,大银监罚决字〔2017〕7号,,null,锦州银行股份有限公司大连市分行,路思伟,以贷转存质押再贷款虚增存贷款规模。,《流动资金贷款管理暂行办法》（银监会令2010年第1号）第第三十条；《中国银监会关于整治银行业金融机构不规范经营的通知》（银监发〔2012〕3号）；《中国银监会办公厅关于进一步加强信贷管理的通知》（银监办发〔2009〕221号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大连银监局,2017-6-1
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/921BCB5711C54284AE8923578A9C53CA.html,大银监罚决字〔2017〕6号,,null,锦州银行股份有限公司大连分行,路思伟,以贷还贷、以贷收息掩盖风险。,《流动资金贷款管理暂行办法》（银监会令2010年第1号）第九条、第三十条；《中国银监会关于银行业服务实体经济的指导意见》（银监发〔2013〕9号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大连银监局,2017-6-1
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/9897CCF12A884EE98B70E11C36F00E3D.html,大银监罚决字〔2017〕5号,,null,中国建设银行股份有限公司大连市分行,张喜军,贷后资金监控不到位，导致贷款被挪用。,《流动资金贷款管理暂行办法》（银监会令2010年第1号）第九条、第二十七条、第三十条；《中国银监会关于银行业服务实体经济的指导意见》（银监发〔2013〕9号）；《中华人民共和国银行业监督管理法》第四十六条。,罚款人民币二十万元,大连银监局,2017-6-1
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/A271B39396954FC3BD884AC9FFAB5CEE.html,大银监罚决字〔2017〕4号,关瑜,null,,,贷后管理不到位，导致个人消费贷款被挪用，承担管理责任。,《个人贷款管理暂行办法》（银监会令2010年第2号）第三十四条、第三十五条、第四十二条；《中国银行业监督管理委员会关于进一步防范银行业金融机构与证券公司业务往来相关风险的通知》（银监发〔2006〕第97号）；《中华人民共和国银行业监督管理法》第四十八条。,警告,大连银监局,2017-6-1
大连银监局行政处罚信息公开表,2017-06-09,http://www.cbrc.gov.cn/chinese/home/docView/DC98D2EFB5454779B460F29787FF348B.html,大银监罚决字〔2017〕3号,李龙旭,null,,,贷后管理不到位，导致个人消费贷款被挪用，承担直接责任。,《个人贷款管理暂行办法》（银监会令2010年第2号）第三十四条、第三十五条、第四十二条；《中国银行业监督管理委员会关于进一步防范银行业金融机构与证券公司业务往来相关风险的通知》（银监发〔2006〕第97号）；《中华人民共和国银行业监督管理法》第四十八条。,警告,大连银监局,2017-6-1
